# 2021.03.15,C3,280 nm,AV_ERR 7.40%
# T,G
# K,1/Ohm
269.95,4.97E-005
259.95,4.37E-005
249.92,3.85E-005
239.9,3.33E-005
229.95,2.88E-005
219.74,2.40E-005
209.75,2.02E-005
199.76,1.71E-005
189.76,1.42E-005
179.76,1.16E-005
169.78,9.35E-006
159.78,7.51E-006
149.79,5.93E-006
139.8,4.68E-006
129.78,3.35E-006
119.8,2.64E-006
109.62,2.10E-006
99.68,1.64E-006
94.68,1.38E-006
89.7,1.19E-006
84.7,1.04E-006
79.72,9.11E-007
74.72,7.96E-007
69.74,6.94E-007
64.78,6.06E-007
59.82,5.33E-007
54.89,4.72E-007
49.9,4.18E-007
47.96,3.86E-007
45.95,3.66E-007
43.95,3.51E-007
42.02,3.36E-007
39.94,3.22E-007
37.95,3.10E-007
35.96,2.98E-007
33.96,2.87E-007
31.96,2.76E-007
29.87,2.64E-007
