# 2021.03.16,C2,360 nm,AV_ERR 8.77%
# T,G
# K,1/Ohm
269.85,6.83E-06
259.86,6.16E-06
249.90,5.45E-06
239.87,4.76E-06
229.90,4.14E-06
219.67,3.54E-06
209.64,2.93E-06
199.66,2.45E-06
189.66,2.02E-06
179.67,1.66E-06
169.67,1.34E-06
159.68,1.08E-06
149.70,8.60E-07
139.71,6.81E-07
129.73,5.34E-07
119.74,4.16E-07
109.54,3.28E-07
99.59,2.55E-07
94.58,2.08E-07
89.58,1.75E-07
84.58,1.48E-07
79.65,1.27E-07
74.61,1.09E-07
69.66,9.36E-08
64.69,8.10E-08
59.75,7.03E-08
54.82,6.06E-08
49.93,5.23E-08
47.82,4.64E-08
45.96,4.23E-08
43.92,3.95E-08
41.92,3.68E-08
39.97,3.48E-08
38.09,3.33E-08
35.99,3.17E-08
33.90,3.02E-08
32.07,2.89E-08
29.46,2.73E-08
